temperature,mu_b,mu_s,mu_q,nb,ns,nq,epsilon,pressure,entropy
nan,9.438846745583000e+02,nan,nan,7.496000000000000e-03,nan,nan,7.062321198183000e+00,1.303832230683000e-02,nan
nan,9.445883475423000e+02,nan,nan,1.120000000000000e-02,nan,nan,1.055702025018000e+01,2.236924229185000e-02,nan
nan,9.460404233780000e+02,nan,nan,1.600000000000000e-02,nan,nan,1.510068996466000e+01,3.595680938709000e-02,nan
nan,9.472313023746000e+02,nan,nan,2.207000000000000e-02,nan,nan,2.085039546755000e+01,5.499937585819000e-02,nan
nan,9.480551994306001e+02,nan,nan,2.948000000000000e-02,nan,nan,2.786784091547000e+01,8.082636374983999e-02,nan
nan,9.497266550051000e+02,nan,nan,4.268000000000000e-02,nan,nan,4.039939417737000e+01,1.349394582449000e-01,nan
nan,9.516981393077000e+02,nan,nan,6.220000000000000e-02,nan,nan,5.895551691255000e+01,2.401073523905000e-01,nan
nan,9.526318273104999e+02,nan,nan,7.317000000000000e-02,nan,nan,6.938912884950000e+01,3.149419548121000e-01,nan
nan,9.526172425109000e+02,nan,nan,7.596000000000000e-02,nan,nan,7.202557917765000e+01,3.352265634752000e-01,nan
nan,9.564323778888000e+02,nan,nan,1.000000000000000e-01,nan,nan,9.502440118921000e+01,6.188365996753999e-01,nan
nan,9.660217931912000e+02,nan,nan,1.500000000000000e-01,nan,nan,1.430414539743000e+02,1.861815004369000e+00,nan
nan,9.800947557335001e+02,nan,nan,2.000000000000000e-01,nan,nan,1.916755483256000e+02,4.343402821121000e+00,nan
nan,9.985079471243999e+02,nan,nan,2.500000000000000e-01,nan,nan,2.410949683065000e+02,8.532018474597001e+00,nan
nan,1.021365988812000e+03,nan,nan,3.000000000000000e-01,nan,nan,2.915801873563000e+02,1.482960928723000e+01,nan
nan,1.048316497206000e+03,nan,nan,3.500000000000000e-01,nan,nan,3.432994895383000e+02,2.361128448383000e+01,nan
nan,1.079275146243000e+03,nan,nan,4.000000000000000e-01,nan,nan,3.964772536041000e+02,3.523280489327000e+01,nan
nan,1.114153478656000e+03,nan,nan,4.500000000000000e-01,nan,nan,4.513378583048000e+02,5.003120709025000e+01,nan
nan,1.152674041331000e+03,nan,nan,5.000000000000000e-01,nan,nan,5.079934930162000e+02,6.834352764948000e+01,nan
nan,1.194535444838000e+03,nan,nan,5.500000000000000e-01,nan,nan,5.665563471139000e+02,9.043814754712000e+01,nan
nan,1.240586100350000e+03,nan,nan,6.000000000000000e-01,nan,nan,6.276995568520000e+02,1.166521033579000e+02,nan
nan,1.288958574168000e+03,nan,nan,6.500000000000000e-01,nan,nan,6.905256072250000e+02,1.472974659843000e+02,nan
nan,1.341826881194000e+03,nan,nan,7.000000000000000e-01,nan,nan,7.567173388680000e+02,1.825614779678000e+02,nan
nan,1.397295309888000e+03,nan,nan,7.500000000000000e-01,nan,nan,8.251528580243000e+02,2.228186243915000e+02,nan
nan,1.455811574211000e+03,nan,nan,8.000000000000000e-01,nan,nan,8.963931115723000e+02,2.682561477968000e+02,nan
nan,1.517131534609000e+03,nan,nan,8.500000000000000e-01,nan,nan,9.704380995120000e+02,3.191237049058000e+02,nan
nan,1.581619229979000e+03,nan,nan,9.000000000000000e-01,nan,nan,1.047848768722000e+03,3.756085382599000e+02,nan
nan,1.649102987329000e+03,nan,nan,9.500000000000000e-01,nan,nan,1.128625119201000e+03,4.380227187617000e+02,nan
nan,1.719195811542000e+03,nan,nan,1.000000000000000e+00,nan,nan,1.212767150951000e+03,5.064286605917000e+02,nan
nan,1.792296982210000e+03,nan,nan,1.050000000000000e+00,nan,nan,1.300835810849000e+03,5.810760204719001e+02,nan
nan,1.867713279219000e+03,nan,nan,1.100000000000000e+00,nan,nan,1.392270152017000e+03,6.622144551242000e+02,nan
nan,1.945413416660000e+03,nan,nan,1.150000000000000e+00,nan,nan,1.487631121333000e+03,7.495943078266999e+02,nan
nan,2.025632032652000e+03,nan,nan,1.200000000000000e+00,nan,nan,1.586918718797000e+03,8.438397203845000e+02,nan
nan,2.108066909766000e+03,nan,nan,1.250000000000000e+00,nan,nan,1.690132944410000e+03,9.449506927974001e+02,nan
nan,2.193373932246000e+03,nan,nan,1.300000000000000e+00,nan,nan,1.797834745050000e+03,1.053551366871000e+03,nan
nan,2.279893802097000e+03,nan,nan,1.350000000000000e+00,nan,nan,1.909463173837000e+03,1.168393458994000e+03,nan
nan,2.368788878878000e+03,nan,nan,1.400000000000000e+00,nan,nan,2.025579177652000e+03,1.290725252777000e+03,nan
nan,2.459383008903000e+03,nan,nan,1.450000000000000e+00,nan,nan,2.146182756493000e+03,1.419922606416000e+03,nan
nan,2.552712440506000e+03,nan,nan,1.500000000000000e+00,nan,nan,2.271834857239000e+03,1.557233803520000e+03,nan
nan,2.647345221607000e+03,nan,nan,1.550000000000000e+00,nan,nan,2.401974533012000e+03,1.701410560479000e+03,nan
nan,2.660560706514000e+03,nan,nan,1.557000000000000e+00,nan,nan,2.420485779997000e+03,1.722007240045000e+03,nan
nan,2.679525417973000e+03,nan,nan,1.567000000000000e+00,nan,nan,2.446850283278000e+03,1.751966046686000e+03,nan
nan,2.699001096113000e+03,nan,nan,1.577000000000000e+00,nan,nan,2.473775733438000e+03,1.782548995132000e+03,nan
nan,2.718231334074000e+03,nan,nan,1.587000000000000e+00,nan,nan,2.500701183598000e+03,1.813131943578000e+03,nan
nan,2.737571992899000e+03,nan,nan,1.597000000000000e+00,nan,nan,2.528187580636000e+03,1.843714892023000e+03,nan
nan,2.757060335998000e+03,nan,nan,1.607000000000000e+00,nan,nan,2.555673977674000e+03,1.874921982274000e+03,nan
nan,2.776307635892000e+03,nan,nan,1.617000000000000e+00,nan,nan,2.583160374713000e+03,1.906129072525000e+03,nan
nan,2.796046726005000e+03,nan,nan,1.627000000000000e+00,nan,nan,2.611207718629000e+03,1.937960304581000e+03,nan
